title,category,city,address,contact,description,price,source,source_url
"马德里接送","服务","Madrid","","620459077","平台代登记商家信息，商家待认领。服务范围：马德里接送。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_458.html"
"国际特价机票预定 查询/订票/改期全程一对一服务","服务","Madrid","","18562363202","平台代登记商家信息，商家待认领。服务范围：专业国际特价机票，欢迎询价。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_456.html"
"航空服务有限公司","服务","Madrid","","18562363202","平台代登记商家信息，商家待认领。服务范围：头等舱/公务舱超低价 行程设计/座位优选 查询/订票/退票/改期/升舱 公务/游学/留学/海员/劳务/团队 一对一服务24小时在线查询最优价。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_455.html"
"马德里华人接送","服务","Madrid","马德里","620459077","平台代登记商家信息，商家待认领。服务范围：机场接送，搬家，翻译，旅游包车。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_454.html"
"四季健康足浴养生会所","服务","Madrid","C/perpetua diaz 32，28026 ，Madrid ,Usera","604111598","平台代登记商家信息，商家待认领。服务范围：本店设有推拿、足浴、汗蒸、艾灸、拔罐等养生项目。。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_453.html"
"大闹火锅","服务","Madrid","Calle de Juan Bravo, 25, Salamanca, 28006 Madrid","911480350","平台代登记商家信息，商家待认领。服务范围：麻辣火锅。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_451.html"
"西班牙163华人旅行社","服务","Madrid","Plaza de carballo 1, Madrid, Spain","0034-644373263","平台代登记商家信息，商家待认领。服务范围：国际机票 豪华平价邮轮 各国签证 全球酒店免费预订 旅游参团。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_430.html"
"聚材道饰材","服务","Madrid","calle del rio ebro 7","688105908","平台代登记商家信息，商家待认领。服务范围：商装/家装。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_426.html"
"大马村","服务","Madrid","C. Valtuille, 1b, 28947 Fuenlabrada, Madrid","608702777","平台代登记商家信息，商家待认领。服务范围：中餐，烧烤，调酒，茶室，音乐，台球。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_425.html"
"张亮麻辣烫 马德里","服务","Madrid","C. de Gabino Jimeno, 6, Usera, 28026 Madrid","688008140","平台代登记商家信息，商家待认领。服务范围：麻辣烫。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_417.html"
